,Cell_ID,IntrinsicProfile
229,SA158.3,NFS
230,SA159.1,NFS_Ih_ADP_Adapting
231,SA159.2,FS
232,SA159.3,NFS_ADP_ReboundBurst
233,SA159.4,NFS_ADP
234,SA160.1,NFS
235,SA160.2,NFS_IT_ReboundBurst
236,SA83.1,FS
237,SA83.2,FS
238,SA83.3,NFS
239,SA83.4,FS
240,SA84.1,NFS
241,SA85.1,NFS
242,SA85.2,NFS_ADP
243,SA85.3,NFS_ADP
244,SA86.1,NFS_ADP_Ih
245,SA86.2,NFS_ADP_Adapting
246,SA87.1,FS
247,SA88.1,FS_Ih
248,SA88.2,FS_SlightlyStuttering
249,SA88.3,FS
250,SA88.4,RS_Ih
251,SA89.1,FS
252,SA89.2,FS
253,SA90.1,NFS
254,SA90.2,RS_Ih
255,SA91.1,NFS_Ih
256,SA91.2,FS
257,SA91.3,NFS
258,SA92.1,NFS_ADP_ReboundBurst
259,SA92.3,RS_Ih
260,SA92.4,RS
261,SA94.1,FS_Ih
262,SA94.2,FS_veryAdapting???_Ih
263,SA94.3,FS_Ih
264,SA94.4,FS_veryAdapting???_Ih
265,SA94.5,FS??
266,SA94.6,FS??
267,SA94.7,RS_Ih
268,SA96.1,NFS
269,SA96.2,FS_Ih
270,SA96.3,FS_Ih
271,SA96.4,FS_Ih
272,SA96.5,FS_Ih
273,SA99.1,RS_Ih
274,SA99.2,RS_Ih
275,SA99.3,FS_Ih
276,SX23.3,RS
277,SX23.4,RS
278,SX23.5,RS
279,SX34.1,FS
280,SX34.2,RS
281,SX34.3,FS
282,SX34.4,FS
283,SX35.1,RS
284,SX35.2,RS
285,SX35.3,FS_veryAdapting???_Ih
286,SX35.4,RS_Ih
287,SX35.5,RS_Ih
288,SX35.6,RS??
289,SX35.7,FS
290,SX35.8,RS
291,SX39.2,RS
292,SX39.3,RS
293,SX39.4,RS_Ih
294,SX39.5,RS_Ih_Bursting
295,SX39.6,RS_Ih
296,SX44.2,FS
297,SX44.3,NFS_Ih
298,SX47.1,RS_Ih_Bursting
299,SX47.2,RS_Ih
300,SX49.1,FS_Ih
301,SX49.2,FS_Ih
302,SX67.1,NFS_ADP_Ih
