Cell_ID,filename,filetype
Dlx12.1,19n15047.abf,Rin
Dlx12.1,19n15048.abf,Baseline
Dlx12.1,19n15049.abf,IntrinsicProfile
Dlx12.1,19n15050.abf,IntrinsicProfile
Dlx12.1,19n15051.abf,IntrinsicProfile
Dlx12.1,19n15052.abf,IntrinsicProfile
Dlx12.1,19n15053.abf,IntrinsicProfile
Dlx12.1,19n15054.abf,IntrinsicProfile
