,Cell_ID,Age,Development,BrainArea,CellTarget,CellType,CellLayer,RMP,Rin,Tau,Rheobase,AP_Threshold,AP_Height,AP_HalfWidth,AP_AHP,MaxFiringFrequency,AdaptationIndex,VoltageSag,IntrinsicProfile,
134,OLL29.2,11,P9-P13,V1,Pyramidal,Pyr,4,-72.2028584,687.5357075,0.264836556,10,-36.92626953,66.71142578,0.0026,5.798339844,42,1.549773756,0.546142578,RS,
135,OLL29.3,11,P9-P13,V1,Pyramidal,FS,6,-62.43748474,391.8032837,0.044763697,29.57142857,-37.17041016,49.19433594,0.0015,20.47729492,62,1.08041958,2.617004395,FS,
136,OLL29.4,11,P9-P13,V1,Pyramidal,Pyr,6,-67.07810139,722.0844735,0.074703032,9.491262136,-28.19824219,65.30761719,0.0018,19.31762695,38,1.321818182,6.766387939,RS_Ih_ReboundBurst,X
137,OLL29.5,11,P9-P13,V1,Pyramidal,Pyr,6,-64.74090474,609.1447957,0.038494513,20.65543071,-27.83203125,57.52563477,0.00395,-2.624511719,26,1.117468354,0.333679199,RS,
138,OLL29.6,11,P9-P13,V1,Pyramidal,Pyr,6,-59.36669861,525.7616754,0.033199867,15.42857143,-41.56494141,64.91088867,0.00155,17.18139648,34,1.173228346,1.355834961,RS_Ih_ReboundBurst,
139,OLL29.7,11,P9-P13,V1,Pyramidal,Pyr,6,-65.45978051,608.6024196,0.03013184,27.01694915,-31.40258789,50.53710938,0.0016,15.65551758,32,0.666441365,5.699676514,RS_Stuttering_Ih_ReboundBurst,
140,OLL29.8,11,P9-P13,V1,Pyramidal,Pyr,4,-64.8463061,391.0529798,1.953832664,16,-37.44506836,58.10546875,0.00275,6.683349609,38,1.40981857,1.961242676,RS,
141,OLL30.1,15,P14-P18,V1,Pyramidal,Pyr,23,-74.06845412,281.1296287,0.0761684,14.62711864,-40.77148438,78.64379883,0.00235,4.241943359,32,2.012170385,2.235412598,RS_Ih,
142,OLL30.2,15,P14-P18,V1,Pyramidal,Pyr,4,-68.58036773,391.3489046,0.107789747,10,-42.57202148,66.80297852,0.00225,4.8828125,38,1.223076923,0.42678833,RS,X
143,OLL30.3,15,P14-P18,V1,Pyramidal,Pyr,6,-70.81919157,509.7373238,0.066972831,5.982702703,-33.29467773,72.17407227,0.0018,19.28710938,34,1.298488665,17.59671021,RS_Ih,
144,OLL31.1,16,P14-P18,V1,Pyramidal,Pyr,5,-67.91577749,188.4108003,-0.648457494,10,-45.34912109,88.47045898,0.0015,0.152587891,32,1.314863676,11.73114014,RS_Ih_ReboundBursting,X
145,OLL31.2,16,P14-P18,V1,Pyramidal,Pyr,4,-66.96548134,348.3675442,0.043688788,20,-37.87231445,67.81005859,0.00155,8.941650391,52,1.391486392,1.736785889,RS,
146,OLL31.3,16,P14-P18,V1,Pyramidal,Pyr,6,-65.84399516,403.0187475,-1.206459382,16.53497942,-36.68212891,57.09838867,0.0018,11.10839844,52,1.200902935,3.574005127,RS_Ih,
147,OLL31.4,16,P14-P18,V1,Pyramidal,Pyr,6,-70.54921777,305.2964422,0.035197806,40,-37.13989258,46.14257813,0.00175,6.866455078,24,1.263607257,0.870117188,RS_Bursting,X
148,OLL31.5,16,P14-P18,V1,Pyramidal,Pyr,6,-69.84447047,288.0729326,0.045258049,17.15384615,-38.72680664,51.51367188,0.0022,-0.793457031,40,7.902542373,0.888977051,Bursting,X
149,OLL31.6,16,P14-P18,V1,Pyramidal,Pyr,4,-70.08560989,307.4150968,0.088226354,9.333333333,-37.41455078,65.30761719,0.00165,5.859375,42,1.230110159,1.804595947,RS,
150,OLL5.1,17,P14-P18,V1,Pyramidal,Pyr,4,-73.65888595,282.0889179,0.036770509,50,-42.29736328,86.6394043,0.00265,6.195068359,28,2.110932476,1.198730469,RS_ADP,
151,OLL5.2,17,P14-P18,V1,Pyramidal,Pyr,4,-71.7982612,350.2757939,0.056233433,20,-42.63305664,81.97021484,0.0025,8.117675781,30,1.429414078,0.363891602,RS,
152,OLL6.1,17,P14-P18,V1,Pyramidal,Pyr,4,-78.4779631,305.300983,0.161813525,19.98431373,-29.47998047,57.28149414,0.0024,12.45117188,18,1.331950207,5.623504639,RS,
153,OLL6.2,17,P14-P18,V1,Pyramidal,Pyr,23,-73.03448759,260.8713442,0.172824448,27,-37.04833984,67.47436523,0.0024,9.155273438,26,1.474879227,0.94442749,RS,X
154,OLL6.3,17,P14-P18,V1,Pyramidal,Pyr,5,-61.86206207,120.9617271,-0.524431589,20,-40.98510742,86.42578125,0.00165,1.312255859,32,7.279279279,13.38604736,RS_Ih,
155,OLL7.1,17,P14-P18,S1BF,Pyramidal,Pyr,4,-69.825744,347.3212278,0.046996553,30,-31.09741211,66.28417969,0.0021,10.55908203,28,1.642929293,3.652984619,RS_Ih,
156,SA103.1,17,P14-P18,S1BF,Pyramidal,Pyr,4,-76.53515271,375.7830733,0.045288718,40,-36.65161133,68.42041016,0.00205,7.720947266,38,1.347179878,4.050384521,RS_Ih,
157,SA103.2,17,P14-P18,S1BF,LHX6,PV,4,-61.35131928,62.44304273,0.450241138,189.5,-46.38671875,75.59204102,0.0006,21.7590332,100,1.271341463,1.234191895,FS,
158,SA103.3,17,P14-P18,S1BF,LHX6,PV,4,-55.08194552,89.66927882,0.774107311,155.8461538,-44.25048828,62.86621094,0.0006,17.27294922,124,1.327402135,0.430877686,FS,
159,SA103.4,17,P14-P18,S1BF,Pyramidal,Pyr,4,-80.08539284,299.0982491,0.047204671,30,-41.38183594,72.08251953,0.00185,6.195068359,30,2.457186544,3.592987061,RS_Ih_Bursting,
160,SA103.5,17,P14-P18,S1BF,LHX6,PV,4,-65.40015109,61.65148938,-6.548000799,357.3333333,-65.55175781,87.95166016,0.0008,-13.51928711,78,0.9856,3.007080078,FS_Ih,
161,SA107.1,17,P14-P18,V1,Pyramidal,Pyr,4,-75.61685128,294.6928379,0.047232348,30,-41.38183594,65.33813477,0.00205,6.042480469,36,1.339510749,1.766876221,RS,X
162,SA107.2,17,P14-P18,V1,Pyramidal,Pyr,4,-73.47588909,349.953962,0.188032399,20,-38.02490234,62.2253418,0.00215,6.469726563,38,1.634634635,0.852020264,RS,
163,SA107.3,17,P14-P18,V1,LHX6;SSTCre,SST,4,-61.67116265,229.1749018,0.019894267,35.61538462,-42.14477539,58.83789063,0.00125,7.080078125,76,1.285198556,3.943786621,NFS_ADP_Adapting,
164,SA107.4,17,P14-P18,V1,LHX6,PV,5,-71.03921543,198.9583691,0.022160535,46.2173913,-36.62109375,68.20678711,0.0008,23.07128906,70,1.126865672,2.369628906,FS_ADP,
165,SA108.1,18,P14-P18,S1BF,LHX6,PV,4,-74.60693453,159.7095671,0.023597709,140.2857143,-36.16333008,63.41552734,0.00065,13.30566406,90,2.658064516,0.696258545,FS,
166,SA109.1,18,P14-P18,S1BF,SSTCre,SST,4,-70.40551614,107.1445912,0.217005444,209.8893281,-37.99438477,57.92236328,0.0009,8.575439453,110,2.390196078,2.702941895,NFS_ADP_Ih,
167,SA109.2,18,P14-P18,S1BF,SSTCre,SST,4,-67.27014324,110.030245,0.013249405,104.8461538,-45.37963867,77.72827148,0.00075,8.270263672,116,1.961904762,5.893218994,NFS_ADP_Ih,
168,SA109.3,18,P14-P18,S1BF,SSTCre,SST,5,-64.70364029,338.7629745,-0.557530875,10,-43.21289063,46.1730957,0.0014,9.521484375,76,1.179347826,12.76660156,NFS_Ih_ADP_ReboundBurst,
169,SA109.4,18,P14-P18,S1BF,SSTCre,SST,4,-65.70296422,153.6207031,0.014034696,67.66666667,-40.7409668,58.44116211,0.00095,10.80322266,92,1.312242091,9.971313477,NFS_ADP_Ih,
170,SA111.1,6,P5-P8,S1BF,Pyramidal,Pyr,4,-78.28498535,-147.6379395,0.064624472,15,-32.74536133,68.29833984,0.003,2.014160156,20,1.639344262,9.9559021,RS,
171,SA111.2,6,P5-P8,S1BF,Pyramidal,Pyr,4,-57.67562561,1134.989014,0.090455282,12.05882353,-30.73120117,50.93383789,0.0034,1.403808594,26,1.44701087,0.552978516,RS,
172,SA111.3,6,P5-P8,S1BF,Pyramidal,Pyr,4,-56.83806973,874.4018308,0.070271165,13.22222222,-29.20532227,57.15942383,0.00365,-0.610351563,14,1.292613636,7.899200439,RS_Ih,
173,SA111.4,6,P5-P8,S1BF,Pyramidal,Pyr,4,-62.16998847,809.51244,0.068526175,9.490909091,-30.85327148,54.80957031,0.0029,5.218505859,24,1.227091633,6.8175354,RS_Ih,
174,SA120.1,7,P5-P8,S1BF,SSTCre,SST,4,-51.34711795,1057.158361,0.061522688,10,-41.7175293,72.23510742,0.0026,9.429931641,56,1.161680912,4.260742188,NFS,
175,SA120.2,7,P5-P8,S1BF,SSTCre,SST,4,-59.65542678,521.014974,0.039112835,35,-41.10717773,57.15942383,0.00235,14.6484375,32,1.162844037,0.403137207,NFS,
176,SA120.3,7,P5-P8,S1BF,Pyramidal,Pyr,4,-58.28863882,671.9915233,0.090549584,33.29906542,-31.86035156,57.52563477,0.003,3.997802734,16,1.198179272,4.645629883,RS_Ih,
177,SA121.1,7,P5-P8,S1BF,Pyramidal,Pyr,4,-58.34817713,828.5906493,0.06332881,15,-31.00585938,69.09179688,0.0028,7.080078125,12,2.245428296,6.658905029,RS_Ih,
178,SA122.1,8,P5-P8,S1BF,SSTCre,FS,4,-71.60286008,220.736262,0.090387004,141,-32.44018555,64.94140625,0.00155,19.37866211,34,1.380319149,10.98638916,FS_Ih_stuttering,
179,SA122.2,8,P5-P8,S1BF,SSTCre,SST,4,-56.80186093,531.9030979,0.035159913,12.30769231,-43.15185547,69.09179688,0.0022,7.934570313,50,1.336829837,0.808135986,NFS,
180,SA122.3,8,P5-P8,S1BF,SSTCre,SST,4,-56.36774567,845.230777,0.088833218,14.33333333,-29.0222168,44.12841797,0.00305,8.392333984,34,1.459051724,4.626861572,RS,
181,SA122.4,8,P5-P8,S1BF,Pyramidal,Pyr,4,-61.26363279,810.498978,1.361800592,15,-32.04345703,60.76049805,0.0025,9.918212891,24,1.62107438,4.79083252,RS,
182,SA123.1,8,P5-P8,S1BF,SSTCre,SST,4,-58.3369161,514.8606549,0.221506406,30,-40.34423828,71.83837891,0.0019,15.31982422,42,1.170454545,3.635009766,FS,
183,SA123.2,8,P5-P8,S1BF,Pyramidal,Pyr,4,-58.92546173,938.990676,0.068534754,5.454545455,-34.51538086,66.16210938,0.0028,4.455566406,26,1.552878179,7.751647949,RS_Ih,
184,SA129.1,6,P5-P8,V1,SSTCre,SST,5,-63.64443351,1128.353619,0.095169033,10,-39.21508789,60.97412109,0.0037,9.246826172,36,1.044595616,0.839599609,NFS,
185,SA129.2,6,P5-P8,V1,SSTCre,SST,4,-53.63320516,1204.622729,0.048427804,10,-36.98730469,47.18017578,0.00535,3.326416016,16,1.152991453,2.40322876,NFS,
186,SA129.3,6,P5-P8,V1,Pyramidal,Pyr,4,-61.25760193,1600.452271,0.227233995,6.666666667,-24.96337891,54.22973633,0.0048,-3.173828125,6,0.780834821,0.424560547,RS,
187,SA130.1,6,P5-P8,S1BF,LHX6,PV,23,-63.82761841,299.6862793,-1.507927094,44.33333333,-37.93334961,44.67773438,0.00325,8.544921875,6,0.006702818,2.365203857,Shit,
188,SA130.2,6,P5-P8,S1BF,LHX6,SST,4,-60.02945557,449.977417,-0.510143501,23.78947368,-31.61621094,48.37036133,0.0064,-11.71875,8,195.5050167,11.88745117,DiscardBadCell,
189,SA130.3,6,P5-P8,S1BF,LHX6,PV,4,-67.8052948,1207.082214,0.082045006,24.91623037,-31.70776367,50.65917969,0.00215,21.484375,48,1.164733179,10.46478271,FS_Ih,
190,SA130.4,6,P5-P8,S1BF,LHX6,PV,4,-69.95330811,1188.330688,0.116344762,20.18823529,-29.41894531,51.84936523,0.002,20.62988281,52,1.196759259,8.371795654,FS_Ih,
191,SA130.5,6,P5-P8,S1BF,LHX6,PV,5,-74.64309082,1525.792236,0.104691004,14.24190065,-34.11865234,58.99047852,0.002,17.51708984,54,1.220338983,0.451690674,FS,
192,SA131.1,12,P9-P13,V1,LHX6,SST,4,-67.62964681,860.0349935,0.05236955,5,-44.2199707,72.81494141,0.00265,13.82446289,36,1.062320917,1.091827393,NFS_ADP,
193,SA131.2,12,P9-P13,S1BF,Pyramidal,Pyr,4,-66.54544889,413.716228,0.048219981,19.69126214,-34.24072266,78.03344727,0.00195,9.582519531,24,1.259744409,6.166778564,RS,
194,SA131.3,12,P9-P13,S1BF,LHX6,SST,4,-61.39969963,262.7934124,0.02003836,14.33980583,-43.88427734,90.24047852,0.0014,11.38305664,40,1.351081531,3.118743896,NFS_ADP,
195,SA131.4,12,P9-P13,S1BF,LHX6,PV,4,-61.69788308,114.5583704,-0.384284423,124.8415128,-31.86035156,64.97192383,0.0011,20.53833008,60,1.266441821,10.19033813,FS_Ih,
196,SA132.2,8,P5-P8,V1,Pyramidal,Pyr,4,-65.75460409,947.3304702,0.143887847,26.00943396,-32.44018555,59.75341797,0.00325,9.796142578,20,1.194497154,0.244506836,RS,
197,SA133.1,17,P14-P18,S1BF,LHX6,SST,5,-59.70030921,194.4578658,0.096340712,31.50551876,-47.24121094,78.09448242,0.0012,12.93945313,46,3.04622871,3.936767578,FS,
198,SA133.2,17,P14-P18,S1BF,LHX6,PV,4,-66.90387113,167.3414347,0.07108587,146.1176471,-65.97900391,90.78979492,0.0015,-15.01464844,70,1.013398295,2.557952881,FS_Ih,
199,SA133.3,17,P14-P18,S1BF,LHX6,PV,4,-64.66235993,88.5606389,0.195454471,281,-62.34741211,85.14404297,0.00185,-20.44677734,38,1.120879121,4.452636719,FS_Ih,
200,SA133.5,17,P14-P18,S1BF,Pyramidal,Pyr,4,-78.04713983,207.9811218,0.050379523,37,-29.54101563,64.66674805,0.00245,4.730224609,16,3.7784522,1.52734375,FS_SingleSpike_Bad,
201,SA134.1,7,P5-P8,S1BF,SSTCre,SST,5,-55.26152344,910.2598988,0.099710379,6.666666667,-39.39819336,69.70214844,0.0032,14.83154297,28,1.10035524,0.602050781,NFS,
202,SA134.2,7,P5-P8,S1BF,SSTCre,SST,5,-65.92716471,636.7400198,0.083717716,10,-49.65209961,80.23071289,0.0025,9.857177734,38,1.184775537,3.676300049,NFS_Ih,
203,SA134.3,7,P5-P8,S1BF,SSTCre,SST,23,-64.51005859,989.1762473,1.943693732,26.94405594,-34.24072266,54.74853516,0.003,19.68383789,36,1.184938036,1.865753174,FS,
204,SA134.4,7,P5-P8,S1BF,SSTCre,SST,4,-61.08599447,842.2723204,0.111534912,6.924050633,-35.09521484,63.44604492,0.0033,7.659912109,8,1.493523316,3.388702393,RS,
205,SA134.5,7,P5-P8,S1BF,SSTCre,SST,4,-68.41361694,897.0050604,0.120123817,9,-39.94750977,66.19262695,0.00295,15.16723633,48,1.093533487,5.755554199,FS,
206,SA134.6,7,P5-P8,V1,SSTCre,SST,4,-68.40414429,1301.255105,0.115032608,10,-44.43359375,55.87768555,0.00405,6.713867188,22,1.15625,1.678192139,NFS,
207,SA134.7,7,P5-P8,V1,SSTCre,SST,4,-72.63884074,1091.32487,0.118447433,6,-45.59326172,74.79858398,0.0026,13.12255859,38,1.045013582,0.612792969,NFS,
208,SA134.8,7,P5-P8,V1,LHX6,PV,4,-68.1692098,1725.660548,0.060810014,7.857142857,-32.65380859,54.50439453,0.00295,18.34106445,26,1.385496183,2.761169434,FS,
209,SA134.9,7,P5-P8,V1,Pyramidal,Pyr,4,-63.48648478,1176.174279,0.042140241,30,-33.35571289,57.67822266,0.0041,0.48828125,6,0.002030457,2.168487549,RS,
210,SA149.3,8,P5-P8,V1,SSTCre,SST,5,-62.51044922,1326.762695,0.172283925,5,-44.03686523,49.04174805,0.00225,13.09204102,38,1.020449898,0.297973633,NFS,
211,SA150.2,8,P5-P8,V1,SSTCre,SST,6,-66.86560304,679.6281391,0.109831077,10,-39.97802734,52.85644531,0.00205,26.12304688,36,1.049866429,17.66174316,NFS_Ih_IT,
212,SA151.1,7,P5-P8,V1,SSTCre,SST,6,-57.29213257,1515.773926,0.12993706,5,-39.79492188,58.71582031,0.00235,13.9465332,50,0.928888889,0.387573242,NFS,
213,SA151.2,7,P5-P8,V1,SSTCre,SST,6,-64.18816787,1339.711604,0.114607635,5,-39.30664063,52.18505859,0.00205,18.95141602,42,1.023765144,0.278167725,NFS,
214,SA151.3,7,P5-P8,V1,SSTCre,SST,5,-63.38752419,626.0513679,1.033372313,16.11485871,-43.45703125,73.66943359,0.00205,10.22338867,42,1.07444668,0.831329346,NFS,
215,SA152.1,7,P5-P8,V1,SSTCre,SST,5,-59.04917297,918.7213135,-1.783814198,10,-42.05322266,72.72338867,0.00195,11.35253906,36,0.9378188,0.729522705,NFS,
216,SA152.2,7,P5-P8,V1,SSTCre,SST,42,-65.27854919,790.0418091,0.142149364,10,-34.97314453,60.69946289,0.00455,-3.295898438,38,1.282726046,5.954650879,NFS_Ih,
217,SA153.1,15,P14-P18,V1,SSTCre,SST,6,-66.39450393,330.2280013,0.040188461,24.48136143,-43.39599609,78.21655273,0.00175,13.88549805,42,1.092581239,0.301269531,NFS_ADP,
218,SA153.2,15,P14-P18,V1,Pyramidal,Pyr,5,-75.91757794,259.4680129,0.080184039,30,-40.40527344,67.26074219,0.00335,-3.601074219,26,3.561151079,1.324768066,Bursting,
219,SA153.3,15,P14-P18,V1,SSTCre,SST,5,-71.39457458,376.9399008,0.081163183,9.588235294,-42.57202148,81.93969727,0.00125,20.20263672,60,0.997217069,1.067718506,NFS_ADP,X
220,SA154.1,15,P14-P18,V1,SSTCre,SST,5,-62.83976818,403.1504937,0.088794215,16.86136784,-46.84448242,87.98217773,0.00155,4.455566406,40,1.258252427,0.335998535,NFS_ADP,
221,SA154.2,15,P14-P18,V1,SSTCre,SST,5,-67.93165372,381.5431848,0.080697597,20,-42.44995117,83.03833008,0.00125,16.44897461,60,1.159196291,1.718475342,NFS_ADP,
222,SA155.1,15,P14-P18,V1,SSTCre,SST,5,-66.48032013,308.9676703,0.071904056,20.08,-42.05322266,83.2824707,0.0018,13.15307617,42,1.123595506,4.956970215,NFS_ADP_Ih,
223,SA155.2,15,P14-P18,V1,SSTCre,SST,6,-68.95634874,366.0789143,0.047238857,22.22654867,-42.11425781,72.84545898,0.0018,7.965087891,48,1.307855626,3.745117188,NFS_ADP_Ih,
224,SA156.1,15,P14-P18,V1,SSTCre,SST,6,-70.47488005,387.2233278,0.029015146,17.201726,-44.15893555,63.23242188,0.00205,11.87133789,44,1.258345428,5.141601563,NFS_Ih,
225,SA157.1,8,P5-P8,V1,SSTCre,SST,6,-61.6197517,2144.596403,0.137645399,6,-37.99438477,64.66674805,0.0042,7.385253906,36,1.021459227,1.837310791,NFS,
226,SA157.2,8,P5-P8,V1,SSTCre,SST,6,-62.02821248,719.0374571,0.081962263,5,-44.58618164,73.18115234,0.00265,6.652832031,34,1.05125149,0.692169189,NFS_ReboundBurst,X
227,SA158.1,8,P5-P8,V1,SSTCre,SST,6,-67.41019803,939.7178529,0.070286784,6,-45.74584961,58.34960938,0.00375,6.683349609,26,1.122128852,1.141601563,NFS,
228,SA158.2,8,P5-P8,V1,SSTCre,SST,6,-61.73953044,1170.769783,0.087836976,10,-39.64233398,67.96264648,0.00265,7.904052734,32,1.384101536,2.121368408,NFS_ADP_Bursting,
229,SA158.3,8,P5-P8,V1,SSTCre,SST,6,-68.60380641,508.0478101,0.604074558,5.555555556,-42.48046875,59.78393555,0.00315,5.340576172,28,1.061460957,4.620941162,NFS,
230,SA159.1,18,P14-P18,V1,SSTCre,SST,5,-63.3830915,174.8738043,0.064466894,27.66666667,-43.76220703,78.33862305,0.0011,12.51220703,42,1.179450072,4.05670166,NFS_Ih_ADP_Adapting,
231,SA159.2,18,P14-P18,V1,SSTCre,FS,5,-68.60630676,136.416381,0.03289514,134.483871,-68.29833984,85.57128906,0.00095,-11.35253906,108,1.052401747,0.728515625,FS,
232,SA159.3,18,P14-P18,V1,SSTCre,SST,5,-60.00189057,379.9524998,0.564643578,8.358015816,-41.90063477,65.79589844,0.001,10.92529297,66,0.992638037,6.763153076,NFS_ADP_ReboundBurst,
233,SA159.4,18,P14-P18,V1,SSTCre,SST,42,-69.38067901,182.214635,0.020897787,25.57425743,-40.83251953,57.73925781,0.0011,4.302978516,50,0.906766917,0.620849609,NFS_ADP,
234,SA160.1,18,P14-P18,V1,SSTCre,SST,5,-66.31020314,363.110817,0.153647739,7.409326425,-45.28808594,69.42749023,0.00135,9.002685547,66,1.298056156,1.340423584,NFS,
235,SA160.2,18,P14-P18,V1,SSTCre,SST,5,-62.79907244,410.6457975,0.037022688,14.69019608,-37.90283203,66.58935547,0.0012,13.27514648,50,1.247719298,5.333892822,NFS_IT_ReboundBurst,X
236,SA83.1,11,P9-P13,V1,LHX6,PV,4,-62.15440185,215.8016715,-0.420347193,61.66666667,-37.65869141,56.27441406,0.00165,18.00537109,56,1.286368843,1.291900635,FS,
237,SA83.2,11,P9-P13,V1,LHX6,PV,4,-59.84752139,252.8401213,-0.912208277,82,-32.40966797,52.18505859,0.0016,20.35522461,48,1.086223984,1.679534912,FS,
238,SA83.3,11,P9-P13,V1,LHX6;SSTCre,SST,4,-60.09215646,391.3323672,0.0611728,31.66666667,-39.55078125,57.3425293,0.002,6.286621094,42,1.143902439,2.706420898,NFS,
239,SA83.4,11,P9-P13,V1,LHX6,PV,4,-56.84031194,254.3210137,-0.435527063,41.66666667,-30.02929688,48.67553711,0.00155,19.89746094,58,1.174746336,0.465362549,FS,
240,SA84.1,11,P9-P13,V1,SSTCre,SST,4,-55.01798299,253.0753211,0.018970008,72.66666667,-31.03637695,55.51147461,0.00215,8.117675781,16,1.791666667,0.16619873,NFS,
241,SA85.1,13,P14-P18,V1,SSTCre,SST,4,-59.65781859,126.7916517,1.163699612,23.94117647,-48.18725586,60.66894531,0.00155,9.399414063,34,2.921686747,0.888580322,NFS,
242,SA85.2,13,P14-P18,V1,SSTCre,SST,4,-60.64702399,276.6884808,0.195500871,14.57692308,-41.19873047,69.27490234,0.00155,7.32421875,40,1.90080429,4.812316895,NFS_ADP,
243,SA85.3,13,P14-P18,V1,SSTCre,SST,4,-63.36268829,215.9362052,-3.251028206,48.5,-41.80908203,53.77197266,0.00145,7.720947266,54,1.089858793,0.373657227,NFS_ADP,
244,SA86.1,13,P14-P18,V1,SSTCre,SST,4,-55.31409511,360.5646674,0.18449032,22.89130435,-38.69628906,59.63134766,0.00135,9.338378906,32,1.05164557,0.362976074,NFS_ADP_Ih,X
245,SA86.2,13,P14-P18,V1,SSTCre,SST,4,-67.38292191,170.4841345,0.053925365,67.66666667,-43.70117188,54.26025391,0.0015,6.896972656,20,1.731743666,0.717254639,NFS_ADP_Adapting,
246,SA87.1,16,P14-P18,V1,Pyramidal,FS,4,-61.00129349,134.8415002,1.258699515,131.6436962,-32.53173828,62.83569336,0.00065,25.72631836,74,0.923512748,2.918762207,FS,
247,SA88.1,16,P14-P18,V1,LHX6,PV,4,-67.69874559,164.6506287,0.322727048,140.509048,-31.64672852,61.64550781,0.0009,22.94921875,68,0.44245142,3.241241455,FS_Ih,
248,SA88.2,16,P14-P18,V1,LHX6,PV,4,-71.76059343,120.4841327,0.749619107,243,-33.02001953,60.02807617,0.00085,21.54541016,70,0.863609641,0.983428955,FS_SlightlyStuttering,
249,SA88.3,16,P14-P18,S1BF,LHX6,PV,4,-62.01021711,80.43824049,0.109589523,225.87,-65.12451172,88.53149414,0.00075,-11.74926758,112,0.857388316,1.837219238,FS,
250,SA88.4,16,P14-P18,S1BF,Pyramidal,Pyr,4,-62.97734639,364.3683212,0.039135849,40,-35.21728516,59.63134766,0.00205,11.9934082,16,1.242086144,3.948577881,RS_Ih,
251,SA89.1,16,P14-P18,V1,LHX6,PV,4,-71.74154555,143.3113527,0.196492027,127.9713818,-33.93554688,58.22753906,0.001,24.65820313,66,1.087591241,1.39175415,FS,
252,SA89.2,16,P14-P18,V1,LHX6,PV,4,-57.34984746,125.4863138,0.546134408,65.62686567,-35.09521484,49.49951172,0.00105,20.62988281,76,0.955252918,1.43963623,FS,
253,SA90.1,8,P5-P8,V1,SSTCre,SST,4,-69.04492441,688.5284792,0.108415576,10,-42.57202148,66.55883789,0.00205,15.99121094,60,1.032427695,8.747253418,NFS,
254,SA90.2,8,P5-P8,V1,Pyramidal,Pyr,5,-63.14485469,1047.956617,0.081977886,20,-36.10229492,58.80737305,0.00375,-0.793457031,20,0.731211656,6.244537354,RS_Ih,
255,SA91.1,8,P5-P8,V1,LHX6,SST,4,-68.18045963,711.4263468,0.062833935,5.789473684,-33.69140625,54.74853516,0.00255,17.91381836,42,1.304545455,7.124084473,NFS_Ih,
256,SA91.2,8,P5-P8,V1,LHX6,PV,4,-59.39516469,619.5952411,0.145446189,19.16666667,-32.19604492,49.95727539,0.00295,15.86914063,34,1.236686391,1.667144775,FS,
257,SA91.3,8,P5-P8,V1,LHX6;SSTCre,SST,4,-74.27069704,307.8808121,0.056490512,45,-38.0859375,64.11743164,0.00195,11.38305664,70,1.409956076,11.68612671,NFS,
258,SA92.1,9,P9-P13,V1,SSTCre,SST,4,-60.33113403,809.4173917,0.185733126,8.245901639,-37.50610352,73.27270508,0.002,9.216308594,50,2.287640449,0.552001953,NFS_ADP_ReboundBurst,
259,SA92.3,9,P9-P13,S1BF,Pyramidal,Pyr,4,-61.8427982,592.5440282,0.041874658,13,-36.37695313,71.16699219,0.003,0.793457031,12,1.228676086,3.476287842,RS_Ih,
260,SA92.4,9,P9-P13,S1BF,SSTCre,SST,4,-63.75790812,505.8248254,0.254959436,18.11864407,-35.61401367,54.84008789,0.0024,6.988525391,38,1.333165323,4.603363037,RS,
261,SA94.1,9,P9-P13,V1,LHX6,PV,4,-60.77668398,198.9617034,1.481030826,21,-33.11157227,57.09838867,0.0016,23.01025391,48,1.278797997,5.365661621,FS_Ih,
262,SA94.2,9,P9-P13,S1BF,LHX6,PV,4,-65.91984758,179.6041994,0.06171813,97.07540984,-31.82983398,60.69946289,0.00115,20.53833008,28,1.451005025,7.647827148,FS_veryAdapting???_Ih,
263,SA94.3,9,P9-P13,S1BF,LHX6,PV,4,-73.69620432,202.3971307,0.046457743,81,-34.21020508,64.81933594,0.00135,21.14868164,60,1.408684547,5.740020752,FS_Ih,
264,SA94.4,9,P9-P13,S1BF,LHX6,PV,4,-61.46897378,45.73177046,-1.357602022,246.3333333,-26.00097656,50.47607422,0.00105,20.08056641,34,1.415992812,1.320068359,FS_veryAdapting???_Ih,
265,SA94.5,9,P9-P13,S1BF,SSTCre,SST,4,-65.84013551,154.961148,0.014713607,103.3636364,-39.39819336,66.86401367,0.0013,14.49584961,70,1.28458498,1.429962158,FS??,
266,SA94.6,9,P9-P13,S1BF,SSTCre,SST,4,-69.43986748,213.7939012,0.031494721,85.54545455,-31.76879883,52.33764648,0.00145,17.51708984,70,1.469144981,5.785552979,FS??,
267,SA94.7,9,P9-P13,S1BF,Pyramidal,Pyr,4,-69.94133301,883.5148112,0.053170531,10,-33.02001953,57.73925781,0.00255,7.843017578,38,1.607123583,13.08596802,RS_Ih,
268,SA96.1,10,P9-P13,V1,LHX6;SSTCre,SST,4,-64.67770963,232.5526759,0.028888118,74.84615385,-35.4309082,55.29785156,0.00215,9.704589844,70,1.228228228,0.253845215,NFS,
269,SA96.2,10,P9-P13,V1,LHX6,PV,4,-64.52095852,370.7862312,0.078277895,59.75,-32.80639648,52.94799805,0.0017,16.99829102,66,1.428882834,4.228485107,FS_Ih,
270,SA96.3,10,P9-P13,S1BF,LHX6,PV,4,-67.5276639,307.7261212,0.442085465,15.70254111,-33.78295898,48.61450195,0.0014,16.23535156,68,1.165732586,6.224304199,FS_Ih,
